"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"😷","U+1F637","[生病]","https://www.emojiall.com/images/60/douyin/1f637.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B7","mapped","face with medical mask","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f637png.png"
"😏","U+1F60F","[奸笑]","https://www.emojiall.com/images/60/douyin/1f60f-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8F","mapped","smirking face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f60f-newpng.png"
"😎","U+1F60E","[得意]","https://www.emojiall.com/images/60/douyin/1f60e.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8E","mapped","smiling face with sunglasses","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f60epng.png"
"😬","U+1F62C","[坏笑]","https://www.emojiall.com/images/60/douyin/1f62c.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AC","mapped","grimacing face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f62cpng.png"
"😫","U+1F62B","[抓狂]","https://www.emojiall.com/images/60/douyin/1f62b.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AB","mapped","tired face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f62bpng.png"
"🤑","U+1F911","[钱]","https://www.emojiall.com/images/60/douyin/1f911.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%91","mapped","money-mouth face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f911png.png"
"😚","U+1F61A","[亲亲]","https://www.emojiall.com/images/60/douyin/1f61a.png","https://www.emojiall.com/en/emoji/%F0%9F%98%9A","mapped","kissing face with closed eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f61apng.png"
"😱","U+1F631","[恐惧]","https://www.emojiall.com/images/60/douyin/1f631.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B1","mapped","face screaming in fear","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f631png.png"
"😄","U+1F604","[愉快]","https://www.emojiall.com/images/60/douyin/1f604-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%84","mapped","grinning face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f604-newpng.png"
"🌹","U+1F339","[玫瑰]","https://www.emojiall.com/images/60/douyin/1f339.png","https://www.emojiall.com/en/emoji/%F0%9F%8C%B9","mapped","rose","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f339png.png"
"😥","U+1F625","[快哭了]","https://www.emojiall.com/images/60/douyin/1f625.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A5","mapped","sad but relieved face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f625png.png"
"🙄","U+1F644","[翻白眼]","https://www.emojiall.com/images/60/douyin/1f644-new.png","https://www.emojiall.com/en/emoji/%F0%9F%99%84","mapped","face with rolling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f644-newpng.png"
"👍","U+1F44D","[赞]","https://www.emojiall.com/images/60/douyin/1f44d.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8D","mapped","thumbs up","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f44dpng.png"
"👏","U+1F44F","[鼓掌]","https://www.emojiall.com/images/60/douyin/1f44f.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8F","mapped","clapping hands","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f44fpng.png"
"🙏","U+1F64F","[感谢]","https://www.emojiall.com/images/60/douyin/1f64f-new.png","https://www.emojiall.com/en/emoji/%F0%9F%99%8F","mapped","folded hands","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f64f-newpng.png"
"👄","U+1F444","[嘴唇]","https://www.emojiall.com/images/60/douyin/1f444.png","https://www.emojiall.com/en/emoji/%F0%9F%91%84","mapped","mouth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f444png.png"
"🥒","U+1F952","[胡瓜]","https://www.emojiall.com/images/60/douyin/1f952.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%92","mapped","cucumber","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f952png.png"
"😢","U+1F622","[流泪]","https://www.emojiall.com/images/60/douyin/1f622-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A2","mapped","crying face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f622-newpng.png"
"🍺","U+1F37A","[啤酒]","https://www.emojiall.com/images/60/douyin/1f37a.png","https://www.emojiall.com/en/emoji/%F0%9F%8D%BA","mapped","beer mug","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f37apng.png"
